pair_id,source,model_id,lineage,status,target_score
CDKN2A_damaging_to_PELO,Avana,ACH-000004,Myeloid,matrix_intact,-1.3864352756971559
CDKN2A_damaging_to_PELO,Avana,ACH-000005,Myeloid,matrix_intact,-0.5735379994331193
CDKN2A_damaging_to_PELO,Avana,ACH-000007,Bowel,matrix_intact,-1.5138391280099657
CDKN2A_damaging_to_PELO,Avana,ACH-000009,Bowel,matrix_intact,-0.7642931914844859
CDKN2A_damaging_to_PELO,Avana,ACH-000011,Bladder/Urinary Tract,matrix_intact,-1.4787692672928268
CDKN2A_damaging_to_PELO,Avana,ACH-000012,Lung,matrix_intact,-2.1918346815137624
CDKN2A_damaging_to_PELO,Avana,ACH-000013,Ovary/Fallopian Tube,matrix_intact,-0.8704522827863381
CDKN2A_damaging_to_PELO,Avana,ACH-000015,Lung,matrix_intact,-1.6180187494809894
CDKN2A_damaging_to_PELO,Avana,ACH-000017,Breast,matrix_intact,-0.47160315602671954
CDKN2A_damaging_to_PELO,Avana,ACH-000018,Bladder/Urinary Tract,matrix_intact,-0.7850968235783237
CDKN2A_damaging_to_PELO,Avana,ACH-000019,Breast,matrix_intact,-0.18631760959352484
CDKN2A_damaging_to_PELO,Avana,ACH-000021,Lung,matrix_intact,-1.1142984462931624
CDKN2A_damaging_to_PELO,Avana,ACH-000022,Pancreas,matrix_intact,-0.9530785376115078
CDKN2A_damaging_to_PELO,Avana,ACH-000024,Lymphoid,damaging,-2.8022958402541462
CDKN2A_damaging_to_PELO,Avana,ACH-000025,CNS/Brain,matrix_intact,-1.7074733313607409
CDKN2A_damaging_to_PELO,Avana,ACH-000028,Breast,matrix_intact,-0.8451430090895788
CDKN2A_damaging_to_PELO,Avana,ACH-000029,Lung,matrix_intact,-1.9992927835236978
CDKN2A_damaging_to_PELO,Avana,ACH-000030,Lung,damaging,-1.9020334899285523
CDKN2A_damaging_to_PELO,Avana,ACH-000035,Lung,matrix_intact,-2.1169507060380317
CDKN2A_damaging_to_PELO,Avana,ACH-000036,CNS/Brain,matrix_intact,-0.8654295021900156
CDKN2A_damaging_to_PELO,Avana,ACH-000037,Soft Tissue,matrix_intact,-0.7618488574271725
CDKN2A_damaging_to_PELO,Avana,ACH-000039,Bone,matrix_intact,-0.36836848992772475
CDKN2A_damaging_to_PELO,Avana,ACH-000040,CNS/Brain,matrix_intact,-1.3061903969364197
CDKN2A_damaging_to_PELO,Avana,ACH-000041,Bone,matrix_intact,-1.3881053476357255
CDKN2A_damaging_to_PELO,Avana,ACH-000042,Pancreas,damaging,-0.2663948434904051
CDKN2A_damaging_to_PELO,Avana,ACH-000045,Myeloid,matrix_intact,-0.6016149733107676
CDKN2A_damaging_to_PELO,Avana,ACH-000047,Esophagus/Stomach,matrix_intact,-0.49105513036194026
CDKN2A_damaging_to_PELO,Avana,ACH-000048,Ovary/Fallopian Tube,matrix_intact,-0.6792535064632745
CDKN2A_damaging_to_PELO,Avana,ACH-000052,Bone,matrix_intact,-0.7500945210752281
CDKN2A_damaging_to_PELO,Avana,ACH-000053,Lymphoid,matrix_intact,-1.3014171986577265
CDKN2A_damaging_to_PELO,Avana,ACH-000054,Soft Tissue,matrix_intact,-0.6677088735975789
CDKN2A_damaging_to_PELO,Avana,ACH-000055,CNS/Brain,matrix_intact,-1.3941857632768881
CDKN2A_damaging_to_PELO,Avana,ACH-000060,Pancreas,matrix_intact,-0.39699557517308337
CDKN2A_damaging_to_PELO,Avana,ACH-000067,CNS/Brain,matrix_intact,-1.3319269510203788
CDKN2A_damaging_to_PELO,Avana,ACH-000070,Lymphoid,matrix_intact,-0.554167024090196
CDKN2A_damaging_to_PELO,Avana,ACH-000074,Myeloid,matrix_intact,-0.6907914512339608
CDKN2A_damaging_to_PELO,Avana,ACH-000075,CNS/Brain,matrix_intact,-0.5909596229339571
CDKN2A_damaging_to_PELO,Avana,ACH-000076,Myeloid,matrix_intact,-0.7689370488041227
CDKN2A_damaging_to_PELO,Avana,ACH-000077,Lymphoid,matrix_intact,-1.0940403097057159
CDKN2A_damaging_to_PELO,Avana,ACH-000078,Peripheral Nervous System,matrix_intact,-0.6740888645984713
CDKN2A_damaging_to_PELO,Avana,ACH-000082,Bone,matrix_intact,-0.4411406518120966
CDKN2A_damaging_to_PELO,Avana,ACH-000085,Pancreas,matrix_intact,-0.3453370216082208
CDKN2A_damaging_to_PELO,Avana,ACH-000086,Pleura,matrix_intact,-1.4891411642306212
CDKN2A_damaging_to_PELO,Avana,ACH-000090,Prostate,matrix_intact,-0.4095826388299329
CDKN2A_damaging_to_PELO,Avana,ACH-000092,Pleura,matrix_intact,-1.5923709061945166
CDKN2A_damaging_to_PELO,Avana,ACH-000093,Pancreas,matrix_intact,-0.21777805610813153
CDKN2A_damaging_to_PELO,Avana,ACH-000095,CNS/Brain,matrix_intact,-1.0892963531353161
CDKN2A_damaging_to_PELO,Avana,ACH-000097,Breast,matrix_intact,-1.4666359978275239
CDKN2A_damaging_to_PELO,Avana,ACH-000098,CNS/Brain,matrix_intact,-1.1271327288382023
CDKN2A_damaging_to_PELO,Avana,ACH-000099,Peripheral Nervous System,matrix_intact,-0.9243694737085122
CDKN2A_damaging_to_PELO,Avana,ACH-000101,Lymphoid,matrix_intact,-1.5203951501215895
CDKN2A_damaging_to_PELO,Avana,ACH-000108,Pancreas,matrix_intact,-1.0130872881491015
CDKN2A_damaging_to_PELO,Avana,ACH-000111,Breast,matrix_intact,-2.4969154089725505
CDKN2A_damaging_to_PELO,Avana,ACH-000113,Myeloid,matrix_intact,-1.317101499898118
CDKN2A_damaging_to_PELO,Avana,ACH-000114,Pancreas,matrix_intact,-3.166916178173608
CDKN2A_damaging_to_PELO,Avana,ACH-000115,Prostate,matrix_intact,-0.2684154915301989
CDKN2A_damaging_to_PELO,Avana,ACH-000118,Pancreas,matrix_intact,-1.1870630376913947
CDKN2A_damaging_to_PELO,Avana,ACH-000120,Peripheral Nervous System,matrix_intact,-1.0027617648344451
CDKN2A_damaging_to_PELO,Avana,ACH-000123,Ovary/Fallopian Tube,matrix_intact,-0.8620288281924933
CDKN2A_damaging_to_PELO,Avana,ACH-000127,Bladder/Urinary Tract,matrix_intact,-1.82305199812257
CDKN2A_damaging_to_PELO,Avana,ACH-000128,CNS/Brain,matrix_intact,-1.3251909176693721
CDKN2A_damaging_to_PELO,Avana,ACH-000132,Ovary/Fallopian Tube,matrix_intact,-4.163681241792146
CDKN2A_damaging_to_PELO,Avana,ACH-000133,Soft Tissue,matrix_intact,-0.7567591460951624
CDKN2A_damaging_to_PELO,Avana,ACH-000137,CNS/Brain,matrix_intact,-0.7711253134930254
CDKN2A_damaging_to_PELO,Avana,ACH-000138,Pancreas,matrix_intact,-0.9413699396068198
CDKN2A_damaging_to_PELO,Avana,ACH-000141,Biliary Tract,matrix_intact,-0.2829502638408812
CDKN2A_damaging_to_PELO,Avana,ACH-000142,Bladder/Urinary Tract,matrix_intact,-1.2282158588153829
CDKN2A_damaging_to_PELO,Avana,ACH-000143,Lung,matrix_intact,-1.0827651669508889
CDKN2A_damaging_to_PELO,Avana,ACH-000145,Soft Tissue,matrix_intact,-0.6181178078036659
CDKN2A_damaging_to_PELO,Avana,ACH-000146,Myeloid,matrix_intact,-0.549200610120476
CDKN2A_damaging_to_PELO,Avana,ACH-000147,Breast,matrix_intact,-0.8434184667095201
CDKN2A_damaging_to_PELO,Avana,ACH-000148,Breast,matrix_intact,-1.2046597635258096
CDKN2A_damaging_to_PELO,Avana,ACH-000151,Lymphoid,matrix_intact,-0.7110659469011202
CDKN2A_damaging_to_PELO,Avana,ACH-000152,CNS/Brain,matrix_intact,-0.6905544235806733
CDKN2A_damaging_to_PELO,Avana,ACH-000153,Pleura,matrix_intact,-0.9292661282960566
CDKN2A_damaging_to_PELO,Avana,ACH-000159,Kidney,matrix_intact,-1.0523416970002981
CDKN2A_damaging_to_PELO,Avana,ACH-000160,CNS/Brain,matrix_intact,-1.3318788830468717
CDKN2A_damaging_to_PELO,Avana,ACH-000161,Lung,matrix_intact,-0.6216118887127164
CDKN2A_damaging_to_PELO,Avana,ACH-000163,Head and Neck,matrix_intact,-1.701529369607842
CDKN2A_damaging_to_PELO,Avana,ACH-000164,Pancreas,matrix_intact,-0.9826180494764447
