model_id,model_name,tissue,label,avana_score,ky_score,avana_percentile,ky_percentile,absolute_percentile_gap,discordant_ge_0_25
ACH-000007,LS-513,Large Intestine,MSS,-0.6421656176212722,-0.43936233178138906,0.7916666666666666,0.6206896551724138,0.17097701149425282,False
ACH-000009,C2BBe1,Large Intestine,MSS,0.07304530526573233,-0.09671894775885788,0.25,0.4827586206896552,0.2327586206896552,False
ACH-000252,LS1034,Large Intestine,MSS,0.06601352603549558,0.011377691360072684,0.3333333333333333,0.3793103448275862,0.04597701149425287,False
ACH-000350,COLO-678,Large Intestine,MSS,0.43993939056761333,0.08506716675428133,0.0,0.3448275862068966,0.3448275862068966,True
ACH-000381,T84,Large Intestine,MSS,-0.27239947181470403,0.2646820910817818,0.625,0.1724137931034483,0.4525862068965517,True
ACH-000421,SW837,Large Intestine,MSS,0.06668404551840938,0.32897115209969346,0.2916666666666667,0.10344827586206896,0.18821839080459773,False
ACH-000532,SNU-61,Large Intestine,MSS,-0.04130006968676181,-0.027191590364850488,0.5,0.41379310344827586,0.08620689655172414,False
ACH-000552,HT-29,Large Intestine,MSS,0.10474818256211288,0.09815082930408271,0.20833333333333334,0.3103448275862069,0.10201149425287356,False
ACH-000651,SW620,Large Intestine,MSS,0.4298682317097971,0.28613762903479445,0.041666666666666664,0.13793103448275862,0.09626436781609196,False
ACH-000926,HT55,Large Intestine,MSS,0.2189647667240594,0.4984828400391989,0.16666666666666666,0.034482758620689655,0.13218390804597702,False
ACH-000935,MDST8,Large Intestine,MSS,-0.2623008679189142,-0.6967103074847341,0.5833333333333334,0.6551724137931034,0.07183908045977005,False
ACH-000943,RKO,Large Intestine,MSI,-1.6967284990987768,-4.706138425507311,1.0,0.896551724137931,0.10344827586206895,False
ACH-000950,LoVo,Large Intestine,MSI,-0.4040344469978535,-4.9572555841053685,0.7083333333333334,0.9310344827586207,0.2227011494252873,False
ACH-000957,LS-180,Large Intestine,MSI,-1.356226651518841,-3.8873607610553833,0.875,0.7931034482758621,0.0818965517241379,False
ACH-000958,SW48,Large Intestine,MSI,-1.6093553798765572,-4.970900775593246,0.9583333333333334,0.9655172413793104,0.007183908045977017,False
ACH-000969,KM12,Large Intestine,MSI,-1.4068743278556162,-3.769658491787371,0.9166666666666666,0.7586206896551724,0.15804597701149425,False
ACH-001345,GP5d,Large Intestine,MSI,-0.4440227862464678,-2.855442752147301,0.75,0.7241379310344828,0.025862068965517238,False
ACH-000048,TOV-112D,Ovary,MSS,-0.1426498610128116,0.43737966768306724,0.5238095238095238,0.0,0.5238095238095238,True
ACH-000132,JHOS-2,Ovary,MSS,-0.08756720374314053,0.32289682056931474,0.42857142857142855,0.04,0.38857142857142857,True
ACH-000291,OV-90,Ovary,MSS,-0.22042384473470514,-0.09919216408578783,0.6190476190476191,0.44,0.17904761904761907,False
ACH-000308,EFO-21,Ovary,MSS,0.22479574836096428,0.17470210325258276,0.0,0.16,0.16,False
ACH-000524,KURAMOCHI,Ovary,MSS,-0.005138403624565982,-0.17674224932480176,0.3333333333333333,0.56,0.22666666666666674,False
ACH-000527,OVISE,Ovary,MSS,0.08843478884281343,-0.30588920293857674,0.19047619047619047,0.68,0.4895238095238096,True
ACH-000584,JHOS-4,Ovary,MSS,-0.44612247036835306,-0.3067650464805441,0.8095238095238095,0.72,0.08952380952380956,False
ACH-000657,A2780,Ovary,MSI,0.14203843338548522,-1.1172557324232413,0.09523809523809523,0.84,0.7447619047619047,True
ACH-000696,OVCAR-8,Ovary,MSS,0.08677214050886134,-0.28694871294999663,0.23809523809523808,0.64,0.40190476190476193,True
ACH-000719,RMG-I,Ovary,MSS,-0.2911641106371238,-0.13552228894882573,0.7619047619047619,0.52,0.24190476190476184,False
ACH-000885,TOV-21G,Ovary,MSI,-2.0638994484851096,-3.456741241685009,0.9523809523809523,0.96,0.007619047619047636,False
ACH-000906,ES-2,Ovary,MSS,-0.23440223387073156,-0.10023716487403735,0.7142857142857143,0.48,0.23428571428571432,False
ACH-000936,EFO-27,Ovary,MSI,-0.7315745596680778,-0.21485892563568568,0.8571428571428571,0.6,0.2571428571428571,True
ACH-000947,OVK-18,Ovary,MSI,-2.5287149025994218,-2.197935660876738,1.0,0.88,0.12,False
ACH-001151,OVCAR-5,Ovary,MSS,-0.11638762099616744,-0.30780372739950973,0.47619047619047616,0.76,0.28380952380952384,True
ACH-001418,UWB1.289,Ovary,MSS,-0.22307934493143972,-0.0453449501956637,0.6666666666666666,0.32,0.3466666666666666,True
ACH-001630,PEO1,Ovary,MSS,-0.7773113274678836,-0.4165562334464294,0.9047619047619048,0.8,0.10476190476190472,False
