screen_id,model_id,source,tissue,n_passing_sequences,n_included_sequences,retained_sequence_count,reconstructed_score,official_score,absolute_discrepancy,passes_absolute_1e_8_gate
SC-000421.KY01,ACH-000421,KY,Large Intestine,3,3,3,0.32897115209969346,0.32897115209969346,0.0,True
SC-000501.KY01,ACH-000501,KY,Large Intestine,3,3,3,0.5190991958788919,0.5190991958788919,0.0,True
SC-000532.KY01,ACH-000532,KY,Large Intestine,3,3,3,-0.027191590364850488,-0.027191590364850488,0.0,True
SC-000552.KY01,ACH-000552,KY,Large Intestine,6,6,6,0.0981508293040827,0.09815082930408271,1.3877787807814457e-17,True
SC-000565.KY01,ACH-000565,KY,Large Intestine,3,3,3,-0.33334998022831647,-0.33334998022831647,0.0,True
SC-000651.KY01,ACH-000651,KY,Large Intestine,4,4,4,0.28613762903479445,0.28613762903479445,0.0,True
SC-000722.KY01,ACH-000722,KY,Large Intestine,3,3,3,-1.2634626307692143,-1.2634626307692143,0.0,True
SC-000926.KY01,ACH-000926,KY,Large Intestine,3,3,3,0.4984828400391989,0.4984828400391989,0.0,True
SC-000935.KY01,ACH-000935,KY,Large Intestine,1,1,1,-0.6967103074847341,-0.6967103074847341,0.0,True
SC-000943.KY01,ACH-000943,KY,Large Intestine,3,3,3,-4.706138425507311,-4.706138425507311,0.0,True
SC-000950.KY01,ACH-000950,KY,Large Intestine,3,3,3,-4.9572555841053685,-4.9572555841053685,0.0,True
SC-000957.KY01,ACH-000957,KY,Large Intestine,3,3,3,-3.8873607610553833,-3.8873607610553833,0.0,True
SC-000958.KY01,ACH-000958,KY,Large Intestine,3,3,3,-4.970900775593246,-4.970900775593246,0.0,True
SC-000969.KY01,ACH-000969,KY,Large Intestine,3,3,3,-3.769658491787371,-3.769658491787371,0.0,True
SC-000970.KY01,ACH-000970,KY,Large Intestine,3,3,3,-4.332353576944905,-4.332353576944905,0.0,True
SC-000971.KY01,ACH-000971,KY,Large Intestine,3,3,3,-4.237887250334089,-4.237887250334089,0.0,True
SC-000985.KY01,ACH-000985,KY,Large Intestine,3,3,3,-5.488374445652458,-5.488374445652458,0.0,True
SC-000991.KY01,ACH-000991,KY,Large Intestine,3,3,3,-0.29321965085073926,-0.29321965085073926,0.0,True
SC-000997.KY01,ACH-000997,KY,Large Intestine,6,6,6,-0.048816019697977026,-0.048816019697977026,0.0,True
SC-001039.KY01,ACH-001039,KY,Large Intestine,3,3,3,0.4630918084581141,0.4630918084581141,0.0,True
SC-001081.KY01,ACH-001081,KY,Large Intestine,3,3,3,-0.13596756564535048,-0.13596756564535048,0.0,True
SC-001345.KY01,ACH-001345,KY,Large Intestine,3,3,3,-2.855442752147301,-2.855442752147301,0.0,True
SC-001399.KY01,ACH-001399,KY,Large Intestine,3,3,3,0.2495682985431736,0.2495682985431736,0.0,True
SC-002233.KY01,ACH-002233,KY,Large Intestine,3,3,3,0.24236130986318813,0.24236130986318816,2.7755575615628914e-17,True
SC-000001.KY01,ACH-000001,KY,Ovary,2,2,2,0.12215997951604221,0.12215997951604221,0.0,True
SC-000048.KY01,ACH-000048,KY,Ovary,3,3,3,0.4373796676830673,0.43737966768306724,5.551115123125783e-17,True
SC-000103.KY01,ACH-000103,KY,Ovary,3,3,3,0.20457856371137353,0.20457856371137353,0.0,True
