pair_id,source,primary_confirmatory,delta,pair_count,permutation_extreme_count,permutation_p_one_sided_lower,bootstrap_ci_low,bootstrap_ci_high,pass,gates_json,lineage_deltas_json
STAG2_to_STAG1,Avana,True,-0.4708994708994709,1512,7,7.999920000799993e-05,-0.6151124338624339,-0.3055555555555556,False,"{""at_least_5_negative_lineages"": true, ""bootstrap_upper_lt_0"": true, ""delta_le_minus_0_20"": true, ""delta_lt_0"": true, ""no_lineage_delta_gt_plus_0_20"": false, ""permutation_p_le_0_05"": true}","{""Bladder/Urinary Tract"": -1.0, ""Bone"": -0.8, ""Breast"": 0.8571428571428571, ""CNS/Brain"": -0.6153846153846154, ""Cervix"": 0.0, ""Esophagus/Stomach"": -0.7037037037037037, ""Liver"": 0.9130434782608695, ""Lung"": -0.23148148148148148, ""Lymphoid"": -0.9444444444444444, ""Pancreas"": -1.0, ""Skin"": 0.08823529411764706, ""Soft Tissue"": 0.7142857142857143, ""Uterus"": 0.20987654320987653}"
STAG2_to_STAG1,KY,True,-0.6412556053811659,223,134,0.0013499865001349986,-0.7668161434977578,-0.4798206278026906,True,"{""at_least_5_negative_lineages"": true, ""bootstrap_upper_lt_0"": true, ""delta_le_minus_0_20"": true, ""delta_lt_0"": true, ""no_lineage_delta_gt_plus_0_20"": true, ""permutation_p_le_0_05"": true}","{""Bone"": -0.6363636363636364, ""Bowel"": -0.2413793103448276, ""CNS/Brain"": -0.8444444444444444, ""Esophagus/Stomach"": -0.8421052631578947, ""Lung"": -0.2972972972972973, ""Uterus"": -0.42857142857142855}"
PDS5B_to_PDS5A,Avana,False,-0.6,830,0,9.99990000099999e-06,-0.7373493975903614,-0.4457831325301205,True,"{""at_least_5_negative_lineages"": true, ""bootstrap_upper_lt_0"": true, ""delta_le_minus_0_20"": true, ""delta_lt_0"": true, ""no_lineage_delta_gt_plus_0_20"": true, ""permutation_p_le_0_05"": true}","{""Bowel"": -0.6547619047619048, ""Breast"": -1.0, ""Cervix"": -0.17647058823529413, ""Esophagus/Stomach"": -0.8518518518518519, ""Kidney"": -0.9411764705882353, ""Liver"": -0.30434782608695654, ""Lung"": -0.6697247706422018, ""Myeloid"": -0.23529411764705882, ""Ovary/Fallopian Tube"": -0.6148148148148148, ""Pancreas"": -0.7894736842105263, ""Uterus"": -0.36363636363636365}"
PDS5B_to_PDS5A,KY,False,-0.2032520325203252,246,16153,0.16153838461615383,-0.3983739837398374,-0.008130081300813009,False,"{""at_least_5_negative_lineages"": true, ""bootstrap_upper_lt_0"": true, ""delta_le_minus_0_20"": true, ""delta_lt_0"": true, ""no_lineage_delta_gt_plus_0_20"": false, ""permutation_p_le_0_05"": false}","{""Bowel"": -0.2345679012345679, ""Breast"": -0.9166666666666666, ""CNS/Brain"": 1.0, ""Head and Neck"": 0.5, ""Lymphoid"": -1.0, ""Ovary/Fallopian Tube"": -0.7037037037037037, ""Prostate"": -1.0, ""Uterus"": -0.6666666666666666}"
