pair_id,source,exposed_models,reference_models,contributing_lineages,expected_delta,normal_mean_shift,null_permutations,alternative_simulations,critical_delta,simulated_power,confirmatory_power_adequate
PBRM1_or_ARID2_damaging_to_PARP1,Avana,49,926,15,-0.2,-0.358286909243,100000,10000,-0.16113744075829384,0.6569,False
PBRM1_or_ARID2_damaging_to_PARP1,KY,22,293,8,-0.2,-0.358286909243,100000,10000,-0.23933209647495363,0.3913,False
