pair_id,source,exposed_models,reference_models,contributing_lineages,expected_delta,normal_mean_shift,null_permutations,alternative_simulations,critical_delta,simulated_power,confirmatory_power_adequate
TP53_damaging_to_WEE1,Avana,610,365,25,-0.2,-0.358286909243,100000,10000,-0.07859134565733761,0.9948,True
TP53_damaging_to_WEE1,KY,233,82,16,-0.2,-0.358286909243,100000,10000,-0.14327062228654125,0.7564,False
