pair_id,source,model_id,lineage,status,target_score
TP53_damaging_to_ENDOD1,Avana,ACH-000004,Myeloid,damaging,0.10937717675841171
TP53_damaging_to_ENDOD1,Avana,ACH-000005,Myeloid,damaging,0.1545369437611353
TP53_damaging_to_ENDOD1,Avana,ACH-000007,Bowel,matrix_intact,0.4185917812152601
TP53_damaging_to_ENDOD1,Avana,ACH-000009,Bowel,damaging,0.0682080205280986
TP53_damaging_to_ENDOD1,Avana,ACH-000011,Bladder/Urinary Tract,matrix_intact,0.5258724765752226
TP53_damaging_to_ENDOD1,Avana,ACH-000012,Lung,matrix_intact,0.22469328831796742
TP53_damaging_to_ENDOD1,Avana,ACH-000013,Ovary/Fallopian Tube,damaging,0.22025574801855852
TP53_damaging_to_ENDOD1,Avana,ACH-000015,Lung,damaging,0.22968296271579897
TP53_damaging_to_ENDOD1,Avana,ACH-000017,Breast,damaging,-0.1584909304992204
TP53_damaging_to_ENDOD1,Avana,ACH-000018,Bladder/Urinary Tract,damaging,0.026184372096106703
TP53_damaging_to_ENDOD1,Avana,ACH-000019,Breast,matrix_intact,0.07969665892625243
TP53_damaging_to_ENDOD1,Avana,ACH-000021,Lung,damaging,0.0962114406042576
TP53_damaging_to_ENDOD1,Avana,ACH-000022,Pancreas,damaging,-0.16441660056504578
TP53_damaging_to_ENDOD1,Avana,ACH-000024,Lymphoid,damaging,-0.1474047477008557
TP53_damaging_to_ENDOD1,Avana,ACH-000025,CNS/Brain,matrix_intact,-0.229827831436772
TP53_damaging_to_ENDOD1,Avana,ACH-000028,Breast,matrix_intact,0.3421718415421918
TP53_damaging_to_ENDOD1,Avana,ACH-000029,Lung,matrix_intact,0.30180982522490807
TP53_damaging_to_ENDOD1,Avana,ACH-000030,Lung,damaging,0.1393170982426453
TP53_damaging_to_ENDOD1,Avana,ACH-000035,Lung,damaging,-0.06694691967433992
TP53_damaging_to_ENDOD1,Avana,ACH-000036,CNS/Brain,matrix_intact,0.07744338603548635
TP53_damaging_to_ENDOD1,Avana,ACH-000037,Soft Tissue,damaging,0.03272438923527328
TP53_damaging_to_ENDOD1,Avana,ACH-000039,Bone,matrix_intact,-0.021569189840191905
TP53_damaging_to_ENDOD1,Avana,ACH-000040,CNS/Brain,damaging,-0.015440562410947403
TP53_damaging_to_ENDOD1,Avana,ACH-000041,Bone,damaging,-0.30338339037607326
TP53_damaging_to_ENDOD1,Avana,ACH-000042,Pancreas,damaging,0.2458900345254026
TP53_damaging_to_ENDOD1,Avana,ACH-000045,Myeloid,matrix_intact,0.0805325087427469
TP53_damaging_to_ENDOD1,Avana,ACH-000047,Esophagus/Stomach,damaging,0.15627307584574085
TP53_damaging_to_ENDOD1,Avana,ACH-000048,Ovary/Fallopian Tube,damaging,0.09155680100702099
TP53_damaging_to_ENDOD1,Avana,ACH-000052,Bone,damaging,-0.01757152673650133
TP53_damaging_to_ENDOD1,Avana,ACH-000053,Lymphoid,damaging,0.04781293425520937
TP53_damaging_to_ENDOD1,Avana,ACH-000054,Soft Tissue,matrix_intact,-0.2320300269609428
TP53_damaging_to_ENDOD1,Avana,ACH-000055,CNS/Brain,damaging,0.30707921639369207
TP53_damaging_to_ENDOD1,Avana,ACH-000060,Pancreas,damaging,0.030064863957154214
TP53_damaging_to_ENDOD1,Avana,ACH-000067,CNS/Brain,damaging,-0.3769675900651448
TP53_damaging_to_ENDOD1,Avana,ACH-000070,Lymphoid,matrix_intact,0.14851143446796788
TP53_damaging_to_ENDOD1,Avana,ACH-000074,Myeloid,damaging,-0.03373868622340304
TP53_damaging_to_ENDOD1,Avana,ACH-000075,CNS/Brain,matrix_intact,-0.09424890065333474
TP53_damaging_to_ENDOD1,Avana,ACH-000076,Myeloid,damaging,0.020635579350417384
TP53_damaging_to_ENDOD1,Avana,ACH-000077,Lymphoid,matrix_intact,-0.10500499915893569
TP53_damaging_to_ENDOD1,Avana,ACH-000078,Peripheral Nervous System,matrix_intact,-0.06933158076178055
TP53_damaging_to_ENDOD1,Avana,ACH-000082,Bone,matrix_intact,-0.05411512178034073
TP53_damaging_to_ENDOD1,Avana,ACH-000085,Pancreas,damaging,-0.1908028317171872
