model_id,model_name,tissue,label,library,screen_ids,score
ACH-001653,SK-GT-2,Stomach,MSS,Avana,SC-001653.AV01,0.16035428423744197
ACH-000864,COLO-684,Endometrium,MSI,KY,SC-000864.KY01,0.015927288993755576
ACH-000879,MFE-296,Endometrium,MSI,KY,SC-000879.KY01,-1.908177712757019
ACH-000965,RL95-2,Endometrium,MSI,KY,SC-000965.KY01,-6.74427177089017
ACH-000974,SNG-M,Endometrium,MSI,KY,SC-000974.KY01,-2.1351875159450464
ACH-001517,HEC-1,Endometrium,MSI,KY,SC-001517.KY01,0.2837896031233984
ACH-000192,MFE-280,Endometrium,MSS,KY,SC-000192.KY01,0.3332486446906012
ACH-000293,KLE,Endometrium,MSS,KY,SC-000293.KY01,0.4367274266754881
ACH-000913,ESS-1,Endometrium,MSS,KY,SC-000913.KY01,0.017184746702462773
ACH-000943,RKO,Large Intestine,MSI,KY,SC-000943.KY01,-4.706138425507311
ACH-000950,LoVo,Large Intestine,MSI,KY,SC-000950.KY01,-4.9572555841053685
ACH-000957,LS-180,Large Intestine,MSI,KY,SC-000957.KY01,-3.8873607610553833
ACH-000958,SW48,Large Intestine,MSI,KY,SC-000958.KY01,-4.970900775593246
ACH-000969,KM12,Large Intestine,MSI,KY,SC-000969.KY01,-3.769658491787371
ACH-000970,SNU-C5,Large Intestine,MSI,KY,SC-000970.KY01,-4.332353576944905
ACH-000971,HCT-116,Large Intestine,MSI,KY,SC-000971.KY01,-4.237887250334089
ACH-000985,LS-411N,Large Intestine,MSI,KY,SC-000985.KY01,-5.488374445652458
ACH-000997,HCT-15,Large Intestine,MSI,KY,SC-000997.KY01,-0.048816019697977026
ACH-001345,GP5d,Large Intestine,MSI,KY,SC-001345.KY01,-2.855442752147301
ACH-000007,LS-513,Large Intestine,MSS,KY,SC-000007.KY01,-0.43936233178138906
ACH-000009,C2BBe1,Large Intestine,MSS,KY,SC-000009.KY01,-0.09671894775885788
ACH-000249,CL-11,Large Intestine,MSS,KY,SC-000249.KY01,0.20478179196997473
ACH-000252,LS1034,Large Intestine,MSS,KY,SC-000252.KY01,0.011377691360072684
ACH-000350,COLO-678,Large Intestine,MSS,KY,SC-000350.KY01,0.08506716675428133
ACH-000381,T84,Large Intestine,MSS,KY,SC-000381.KY01,0.2646820910817818
ACH-000421,SW837,Large Intestine,MSS,KY,SC-000421.KY01,0.32897115209969346
ACH-000501,LS-123,Large Intestine,MSS,KY,SC-000501.KY01,0.5190991958788919
ACH-000532,SNU-61,Large Intestine,MSS,KY,SC-000532.KY01,-0.027191590364850488
ACH-000552,HT-29,Large Intestine,MSS,KY,SC-000552.KY01,0.09815082930408271
ACH-000565,RCM-1,Large Intestine,MSS,KY,SC-000565.KY01,-0.33334998022831647
ACH-000651,SW620,Large Intestine,MSS,KY,SC-000651.KY01,0.28613762903479445
ACH-000722,SNU-C1,Large Intestine,MSS,KY,SC-000722.KY01,-1.2634626307692143
ACH-000926,HT55,Large Intestine,MSS,KY,SC-000926.KY01,0.4984828400391989
ACH-000935,MDST8,Large Intestine,MSS,KY,SC-000935.KY01,-0.6967103074847341
ACH-000991,SNU-81,Large Intestine,MSS,KY,SC-000991.KY01,-0.29321965085073926
ACH-001039,COLO-205,Large Intestine,MSS,KY,SC-001039.KY01,0.4630918084581141
ACH-001081,HCC2998,Large Intestine,MSS,KY,SC-001081.KY01,-0.13596756564535048
ACH-001399,SW626,Large Intestine,MSS,KY,SC-001399.KY01,0.2495682985431736
ACH-002233,DiFi,Large Intestine,MSS,KY,SC-002233.KY01,0.24236130986318816
ACH-000657,A2780,Ovary,MSI,KY,SC-000657.KY01,-1.1172557324232413
ACH-000885,TOV-21G,Ovary,MSI,KY,SC-000885.KY01,-3.456741241685009
ACH-000936,EFO-27,Ovary,MSI,KY,SC-000936.KY01,-0.21485892563568568
ACH-000947,OVK-18,Ovary,MSI,KY,SC-000947.KY01,-2.197935660876738
ACH-000962,OC-314,Ovary,MSI,KY,SC-000962.KY01,-4.665737126304375
ACH-000966,IGROV-1,Ovary,MSI,KY,SC-000966.KY01,-3.2859597488954475
ACH-000001,OVCAR-3,Ovary,MSS,KY,SC-000001.KY01,0.12215997951604221
ACH-000048,TOV-112D,Ovary,MSS,KY,SC-000048.KY01,0.43737966768306724
ACH-000103,Caov-4,Ovary,MSS,KY,SC-000103.KY01,0.20457856371137353
ACH-000132,JHOS-2,Ovary,MSS,KY,SC-000132.KY01,0.32289682056931474
ACH-000291,OV-90,Ovary,MSS,KY,SC-000291.KY01,-0.09919216408578783
ACH-000308,EFO-21,Ovary,MSS,KY,SC-000308.KY01,0.17470210325258276
ACH-000430,TYK-nu,Ovary,MSS,KY,SC-000430.KY01,0.023162460997559253
ACH-000524,KURAMOCHI,Ovary,MSS,KY,SC-000524.KY01,-0.17674224932480176
ACH-000527,OVISE,Ovary,MSS,KY,SC-000527.KY01,-0.30588920293857674
ACH-000584,JHOS-4,Ovary,MSS,KY,SC-000584.KY01,-0.3067650464805441
ACH-000696,OVCAR-8,Ovary,MSS,KY,SC-000696.KY01,-0.28694871294999663
ACH-000704,OAW-42,Ovary,MSS,KY,SC-000704.KY01,-0.09882071279808763
ACH-000719,RMG-I,Ovary,MSS,KY,SC-000719.KY01,-0.13552228894882573
ACH-000906,ES-2,Ovary,MSS,KY,SC-000906.KY01,-0.10023716487403735
ACH-001151,OVCAR-5,Ovary,MSS,KY,SC-001151.KY01,-0.30780372739950973
ACH-001418,UWB1.289,Ovary,MSS,KY,SC-001418.KY01,-0.0453449501956637
ACH-001630,PEO1,Ovary,MSS,KY,SC-001630.KY01,-0.4165562334464294
ACH-002140,Hey,Ovary,MSS,KY,SC-002140.KY01,0.17648731044202978
