source,model_id,lineage,eligible_screen_ids,EP300_matrix_value,EP300_status
Avana,ACH-000153,Pleura,SC-000153.AV01,0,matrix_intact
Avana,ACH-000159,Kidney,SC-000159.AV01,0,matrix_intact
Avana,ACH-000160,CNS/Brain,SC-000160.AV01,0,matrix_intact
Avana,ACH-000161,Lung,SC-000161.AV01,0,matrix_intact
Avana,ACH-000163,Head and Neck,SC-000163.AV01,0,matrix_intact
Avana,ACH-000164,Pancreas,SC-000164.AV01,0,matrix_intact
Avana,ACH-000168,Myeloid,SC-000168.AV01,0,matrix_intact
Avana,ACH-000169,Soft Tissue,SC-000169.AV01,0,matrix_intact
Avana,ACH-000174,Thyroid,SC-000174.AV01,2,damaging
Avana,ACH-000178,Pancreas,SC-000178.AV01,0,matrix_intact
Avana,ACH-000182,Ampulla of Vater,SC-000182.AV01,0,matrix_intact
Avana,ACH-000183,Lymphoid,SC-000183.AV01,0,matrix_intact
Avana,ACH-000187,Lung,SC-000187.AV01,0,matrix_intact
Avana,ACH-000188,Head and Neck,SC-000188.AV01,0,matrix_intact
Avana,ACH-000189,Kidney,SC-000189.AV01,0,matrix_intact
Avana,ACH-000190,Myeloid,SC-000190.AV01,0,matrix_intact
Avana,ACH-000191,Thyroid,SC-000191.AV01,0,matrix_intact
Avana,ACH-000195,Myeloid,SC-000195.AV02,0,matrix_intact
Avana,ACH-000198,Myeloid,SC-000198.AV01,0,matrix_intact
Avana,ACH-000200,CNS/Brain,SC-000200.AV01,0,matrix_intact
Avana,ACH-000202,Bowel,SC-000202.AV01,0,matrix_intact
Avana,ACH-000204,Lymphoid,SC-000204.AV01,0,matrix_intact
Avana,ACH-000206,Lymphoid,SC-000206.AV01,0,matrix_intact
Avana,ACH-000207,Head and Neck,SC-000207.AV01,0,matrix_intact
Avana,ACH-000209,Biliary Tract,SC-000209.AV01,0,matrix_intact
Avana,ACH-000211,CNS/Brain,SC-000211.AV01,0,matrix_intact
Avana,ACH-000212,Breast,SC-000212.AV01,0,matrix_intact
Avana,ACH-000215,CNS/Brain,SC-000215.AV01,0,matrix_intact
Avana,ACH-000216,Esophagus/Stomach,SC-000216.AV01,0,matrix_intact
Avana,ACH-000217,Liver,SC-000217.AV01,0,matrix_intact
Avana,ACH-000219,Skin,SC-000219.AV01;SC-002874.AV01,1,damaging
Avana,ACH-000221,Liver,SC-000221.AV01,0,matrix_intact
Avana,ACH-000222,Pancreas,SC-000222.AV01,0,matrix_intact
Avana,ACH-000223,Breast,SC-000223.AV01,0,matrix_intact
Avana,ACH-000226,Lymphoid,SC-000226.AV01,0,matrix_intact
Avana,ACH-000227,Peripheral Nervous System,SC-000227.AV01,0,matrix_intact
Avana,ACH-000228,Head and Neck,SC-000228.AV01,0,matrix_intact
Avana,ACH-000231,CNS/Brain,SC-000231.AV01,0,matrix_intact
Avana,ACH-000232,CNS/Brain,SC-000232.AV01,0,matrix_intact
Avana,ACH-000233,Lymphoid,SC-000233.AV01,0,matrix_intact
Avana,ACH-000234,Kidney,SC-000234.AV01,0,matrix_intact
Avana,ACH-000235,Pancreas,SC-000235.AV01,0,matrix_intact
Avana,ACH-000237,Ovary/Fallopian Tube,SC-000237.AV01,0,matrix_intact
Avana,ACH-000238,Head and Neck,SC-000238.AV02,0,matrix_intact
Avana,ACH-000243,Pancreas,SC-000243.AV01,0,matrix_intact
Avana,ACH-000244,CNS/Brain,SC-000244.AV01,0,matrix_intact
Avana,ACH-000246,Kidney,SC-000246.AV01,0,matrix_intact
Avana,ACH-000247,Esophagus/Stomach,SC-000247.AV01,0,matrix_intact
Avana,ACH-000248,Breast,SC-000248.AV01,0,matrix_intact
Avana,ACH-000250,Kidney,SC-000250.AV01,0,matrix_intact
Avana,ACH-000251,Lung,SC-000251.AV01,0,matrix_intact
Avana,ACH-000252,Bowel,SC-000252.AV01,0,matrix_intact
Avana,ACH-000253,Bowel,SC-000253.AV01,0,matrix_intact
Avana,ACH-000255,Esophagus/Stomach,SC-000255.AV01,0,matrix_intact
Avana,ACH-000256,Ovary/Fallopian Tube,SC-000256.AV01,0,matrix_intact
