pair_id,source,model_id,lineage,status,target_score
EP300_damaging_to_CREBBP,Avana,ACH-000004,Myeloid,matrix_intact,-0.624301884004502
EP300_damaging_to_CREBBP,Avana,ACH-000005,Myeloid,matrix_intact,-0.09475806878769963
EP300_damaging_to_CREBBP,Avana,ACH-000007,Bowel,matrix_intact,0.15507078258667206
EP300_damaging_to_CREBBP,Avana,ACH-000009,Bowel,matrix_intact,-0.4172353836219662
EP300_damaging_to_CREBBP,Avana,ACH-000011,Bladder/Urinary Tract,matrix_intact,-0.19327300696449776
EP300_damaging_to_CREBBP,Avana,ACH-000012,Lung,matrix_intact,-0.503798059523335
EP300_damaging_to_CREBBP,Avana,ACH-000013,Ovary/Fallopian Tube,matrix_intact,-0.024237003081993565
EP300_damaging_to_CREBBP,Avana,ACH-000015,Lung,matrix_intact,-0.49805184302549455
EP300_damaging_to_CREBBP,Avana,ACH-000017,Breast,matrix_intact,-0.2864749520438648
EP300_damaging_to_CREBBP,Avana,ACH-000018,Bladder/Urinary Tract,matrix_intact,-0.5061404822241418
EP300_damaging_to_CREBBP,Avana,ACH-000019,Breast,matrix_intact,-0.33429436847315896
EP300_damaging_to_CREBBP,Avana,ACH-000021,Lung,matrix_intact,-0.22102258828549165
EP300_damaging_to_CREBBP,Avana,ACH-000022,Pancreas,matrix_intact,-0.11041707299767055
EP300_damaging_to_CREBBP,Avana,ACH-000024,Lymphoid,matrix_intact,-4.224735552173124
EP300_damaging_to_CREBBP,Avana,ACH-000025,CNS/Brain,matrix_intact,1.065628224955653
EP300_damaging_to_CREBBP,Avana,ACH-000028,Breast,matrix_intact,-0.9099248391797912
EP300_damaging_to_CREBBP,Avana,ACH-000029,Lung,matrix_intact,0.11956550316431924
EP300_damaging_to_CREBBP,Avana,ACH-000030,Lung,matrix_intact,0.18487071656167883
EP300_damaging_to_CREBBP,Avana,ACH-000035,Lung,matrix_intact,-0.6765073335683808
EP300_damaging_to_CREBBP,Avana,ACH-000036,CNS/Brain,matrix_intact,-0.20534627291938173
EP300_damaging_to_CREBBP,Avana,ACH-000037,Soft Tissue,matrix_intact,0.0836578755601885
EP300_damaging_to_CREBBP,Avana,ACH-000039,Bone,matrix_intact,0.46622946352671657
EP300_damaging_to_CREBBP,Avana,ACH-000040,CNS/Brain,matrix_intact,-0.6093264134609933
EP300_damaging_to_CREBBP,Avana,ACH-000041,Bone,matrix_intact,0.24339413950897582
EP300_damaging_to_CREBBP,Avana,ACH-000042,Pancreas,matrix_intact,-0.8358551414949702
EP300_damaging_to_CREBBP,Avana,ACH-000045,Myeloid,matrix_intact,-0.6701633625059604
EP300_damaging_to_CREBBP,Avana,ACH-000047,Esophagus/Stomach,matrix_intact,-0.9007069737245437
EP300_damaging_to_CREBBP,Avana,ACH-000048,Ovary/Fallopian Tube,matrix_intact,-0.5304588419184895
EP300_damaging_to_CREBBP,Avana,ACH-000052,Bone,matrix_intact,0.06832389596502386
EP300_damaging_to_CREBBP,Avana,ACH-000053,Lymphoid,matrix_intact,-0.5441572909023595
EP300_damaging_to_CREBBP,Avana,ACH-000054,Soft Tissue,matrix_intact,0.1590755434389335
EP300_damaging_to_CREBBP,Avana,ACH-000055,CNS/Brain,matrix_intact,-0.6184571276152157
EP300_damaging_to_CREBBP,Avana,ACH-000060,Pancreas,damaging,-2.2240132275838924
EP300_damaging_to_CREBBP,Avana,ACH-000067,CNS/Brain,matrix_intact,-0.3672954737790568
EP300_damaging_to_CREBBP,Avana,ACH-000070,Lymphoid,matrix_intact,-0.253664344326749
EP300_damaging_to_CREBBP,Avana,ACH-000074,Myeloid,matrix_intact,-0.944934082585688
EP300_damaging_to_CREBBP,Avana,ACH-000075,CNS/Brain,matrix_intact,-0.1010352024664405
EP300_damaging_to_CREBBP,Avana,ACH-000076,Myeloid,matrix_intact,-0.3879597908959673
EP300_damaging_to_CREBBP,Avana,ACH-000077,Lymphoid,matrix_intact,0.026148722665482987
EP300_damaging_to_CREBBP,Avana,ACH-000078,Peripheral Nervous System,matrix_intact,0.6058821522753625
EP300_damaging_to_CREBBP,Avana,ACH-000082,Bone,matrix_intact,-0.19328953824053616
EP300_damaging_to_CREBBP,Avana,ACH-000085,Pancreas,damaging,0.29586315029059584
EP300_damaging_to_CREBBP,Avana,ACH-000086,Pleura,matrix_intact,-0.02235565352992358
EP300_damaging_to_CREBBP,Avana,ACH-000090,Prostate,matrix_intact,0.013520955921282413
EP300_damaging_to_CREBBP,Avana,ACH-000092,Pleura,matrix_intact,-0.2637397234850275
EP300_damaging_to_CREBBP,Avana,ACH-000093,Pancreas,matrix_intact,-0.023583892234778372
EP300_damaging_to_CREBBP,Avana,ACH-000095,CNS/Brain,matrix_intact,-0.21781267839137988
EP300_damaging_to_CREBBP,Avana,ACH-000097,Breast,matrix_intact,-2.0779656846992873
EP300_damaging_to_CREBBP,Avana,ACH-000098,CNS/Brain,matrix_intact,-1.0149944174000143
EP300_damaging_to_CREBBP,Avana,ACH-000099,Peripheral Nervous System,matrix_intact,-1.3555705851041646
EP300_damaging_to_CREBBP,Avana,ACH-000101,Lymphoid,matrix_intact,-0.43580655871741086
EP300_damaging_to_CREBBP,Avana,ACH-000108,Pancreas,matrix_intact,-0.23998150691686873
EP300_damaging_to_CREBBP,Avana,ACH-000111,Breast,matrix_intact,0.0446209394832206
EP300_damaging_to_CREBBP,Avana,ACH-000113,Myeloid,matrix_intact,-1.0560966427657439
EP300_damaging_to_CREBBP,Avana,ACH-000114,Pancreas,matrix_intact,0.05191657506752111
EP300_damaging_to_CREBBP,Avana,ACH-000115,Prostate,matrix_intact,-0.1340269876902881
EP300_damaging_to_CREBBP,Avana,ACH-000118,Pancreas,matrix_intact,-1.3579079916431251
EP300_damaging_to_CREBBP,Avana,ACH-000120,Peripheral Nervous System,matrix_intact,-1.0010403219572326
EP300_damaging_to_CREBBP,Avana,ACH-000123,Ovary/Fallopian Tube,matrix_intact,-0.31663272667284326
EP300_damaging_to_CREBBP,Avana,ACH-000127,Bladder/Urinary Tract,matrix_intact,-3.4178499181349187
EP300_damaging_to_CREBBP,Avana,ACH-000128,CNS/Brain,matrix_intact,0.6659346403685272
EP300_damaging_to_CREBBP,Avana,ACH-000132,Ovary/Fallopian Tube,damaging,-0.691564662350058
EP300_damaging_to_CREBBP,Avana,ACH-000133,Soft Tissue,matrix_intact,0.5084446639656806
EP300_damaging_to_CREBBP,Avana,ACH-000137,CNS/Brain,matrix_intact,0.07713409248315803
EP300_damaging_to_CREBBP,Avana,ACH-000138,Pancreas,matrix_intact,-0.16982545675671634
EP300_damaging_to_CREBBP,Avana,ACH-000141,Biliary Tract,matrix_intact,0.04375810749946937
EP300_damaging_to_CREBBP,Avana,ACH-000142,Bladder/Urinary Tract,matrix_intact,-0.6578114072936465
EP300_damaging_to_CREBBP,Avana,ACH-000143,Lung,matrix_intact,-0.4696936509143707
EP300_damaging_to_CREBBP,Avana,ACH-000145,Soft Tissue,matrix_intact,-0.018897513438551682
EP300_damaging_to_CREBBP,Avana,ACH-000146,Myeloid,matrix_intact,-0.19630324960914708
