pair_id,source,exposed_models,reference_models,contributing_lineages,expected_delta,normal_mean_shift,null_permutations,alternative_simulations,critical_delta,simulated_power,confirmatory_power_adequate
PTEN_damaging_to_ICMT,Avana,94,881,19,-0.2,-0.358286909243,100000,10000,-0.12334911537503115,0.8579,True
PTEN_damaging_to_ICMT,KY,38,277,11,-0.2,-0.358286909243,100000,10000,-0.19418758256274768,0.5297,False
