pair_id,source,model_id,lineage,status,target_score
ARID1A_damaging_to_ATR,Avana,ACH-000004,Myeloid,matrix_intact,-0.60859007308773
ARID1A_damaging_to_ATR,Avana,ACH-000005,Myeloid,matrix_intact,-0.2134730321334123
ARID1A_damaging_to_ATR,Avana,ACH-000007,Bowel,matrix_intact,-1.0067872124127724
ARID1A_damaging_to_ATR,Avana,ACH-000009,Bowel,matrix_intact,-0.6377700000938997
ARID1A_damaging_to_ATR,Avana,ACH-000011,Bladder/Urinary Tract,matrix_intact,-2.219341692259748
ARID1A_damaging_to_ATR,Avana,ACH-000012,Lung,matrix_intact,-1.607424963960459
ARID1A_damaging_to_ATR,Avana,ACH-000013,Ovary/Fallopian Tube,matrix_intact,-1.0076969373724012
ARID1A_damaging_to_ATR,Avana,ACH-000015,Lung,matrix_intact,-0.5857621599052165
ARID1A_damaging_to_ATR,Avana,ACH-000017,Breast,matrix_intact,-0.8525527053433852
ARID1A_damaging_to_ATR,Avana,ACH-000018,Bladder/Urinary Tract,matrix_intact,-0.31200357429015835
ARID1A_damaging_to_ATR,Avana,ACH-000019,Breast,matrix_intact,-0.4225562205057474
ARID1A_damaging_to_ATR,Avana,ACH-000021,Lung,matrix_intact,-1.510302325097845
ARID1A_damaging_to_ATR,Avana,ACH-000022,Pancreas,matrix_intact,-1.3293062122464385
ARID1A_damaging_to_ATR,Avana,ACH-000024,Lymphoid,matrix_intact,-2.052098552832763
ARID1A_damaging_to_ATR,Avana,ACH-000025,CNS/Brain,matrix_intact,-0.9190956533808337
ARID1A_damaging_to_ATR,Avana,ACH-000028,Breast,matrix_intact,-0.8962304069935385
ARID1A_damaging_to_ATR,Avana,ACH-000029,Lung,matrix_intact,-1.690108071468912
ARID1A_damaging_to_ATR,Avana,ACH-000030,Lung,matrix_intact,-1.3424993351014982
ARID1A_damaging_to_ATR,Avana,ACH-000035,Lung,matrix_intact,-1.2317563155793398
ARID1A_damaging_to_ATR,Avana,ACH-000036,CNS/Brain,matrix_intact,-1.3479291128075181
ARID1A_damaging_to_ATR,Avana,ACH-000037,Soft Tissue,matrix_intact,0.08967945985020136
ARID1A_damaging_to_ATR,Avana,ACH-000039,Bone,matrix_intact,-0.33700428936900434
ARID1A_damaging_to_ATR,Avana,ACH-000040,CNS/Brain,matrix_intact,-0.5299852756916699
ARID1A_damaging_to_ATR,Avana,ACH-000041,Bone,matrix_intact,-0.8804106103326815
ARID1A_damaging_to_ATR,Avana,ACH-000042,Pancreas,matrix_intact,-0.9249307939203061
ARID1A_damaging_to_ATR,Avana,ACH-000045,Myeloid,matrix_intact,-0.5731686241144853
ARID1A_damaging_to_ATR,Avana,ACH-000047,Esophagus/Stomach,matrix_intact,-1.5961795846719595
ARID1A_damaging_to_ATR,Avana,ACH-000048,Ovary/Fallopian Tube,matrix_intact,-0.46457265267268844
ARID1A_damaging_to_ATR,Avana,ACH-000052,Bone,matrix_intact,-0.29567261013339596
ARID1A_damaging_to_ATR,Avana,ACH-000053,Lymphoid,matrix_intact,-0.8584417006064635
ARID1A_damaging_to_ATR,Avana,ACH-000054,Soft Tissue,matrix_intact,-1.0453009090518144
ARID1A_damaging_to_ATR,Avana,ACH-000055,CNS/Brain,matrix_intact,-2.5459390218833162
ARID1A_damaging_to_ATR,Avana,ACH-000060,Pancreas,matrix_intact,-1.9565848011577391
ARID1A_damaging_to_ATR,Avana,ACH-000067,CNS/Brain,matrix_intact,-1.2619809644084543
ARID1A_damaging_to_ATR,Avana,ACH-000070,Lymphoid,matrix_intact,-0.3319613724994542
ARID1A_damaging_to_ATR,Avana,ACH-000074,Myeloid,matrix_intact,-1.277847890688085
ARID1A_damaging_to_ATR,Avana,ACH-000075,CNS/Brain,matrix_intact,-0.30083072429592583
ARID1A_damaging_to_ATR,Avana,ACH-000076,Myeloid,matrix_intact,-0.8031606372820282
ARID1A_damaging_to_ATR,Avana,ACH-000077,Lymphoid,matrix_intact,-0.21570929190727384
ARID1A_damaging_to_ATR,Avana,ACH-000078,Peripheral Nervous System,matrix_intact,-0.2401878219336609
ARID1A_damaging_to_ATR,Avana,ACH-000082,Bone,matrix_intact,-1.8867742734178252
ARID1A_damaging_to_ATR,Avana,ACH-000085,Pancreas,matrix_intact,-0.4050573117539181
ARID1A_damaging_to_ATR,Avana,ACH-000086,Pleura,matrix_intact,-1.603623298616018
ARID1A_damaging_to_ATR,Avana,ACH-000090,Prostate,matrix_intact,-0.38407567792442066
ARID1A_damaging_to_ATR,Avana,ACH-000092,Pleura,matrix_intact,-1.4045950908245293
ARID1A_damaging_to_ATR,Avana,ACH-000093,Pancreas,matrix_intact,-0.2725854884722231
ARID1A_damaging_to_ATR,Avana,ACH-000095,CNS/Brain,matrix_intact,-2.096082793151766
ARID1A_damaging_to_ATR,Avana,ACH-000097,Breast,matrix_intact,-1.9696779324345681
ARID1A_damaging_to_ATR,Avana,ACH-000098,CNS/Brain,matrix_intact,-1.2969992805555663
ARID1A_damaging_to_ATR,Avana,ACH-000099,Peripheral Nervous System,matrix_intact,-1.214083116246612
ARID1A_damaging_to_ATR,Avana,ACH-000101,Lymphoid,matrix_intact,-1.5945541132348406
ARID1A_damaging_to_ATR,Avana,ACH-000108,Pancreas,damaging,-0.6675106410061036
ARID1A_damaging_to_ATR,Avana,ACH-000111,Breast,matrix_intact,-6.01391858797072
ARID1A_damaging_to_ATR,Avana,ACH-000113,Myeloid,matrix_intact,-1.1653789312782825
ARID1A_damaging_to_ATR,Avana,ACH-000114,Pancreas,matrix_intact,-1.726032239938788
ARID1A_damaging_to_ATR,Avana,ACH-000115,Prostate,matrix_intact,-0.2435163184588935
ARID1A_damaging_to_ATR,Avana,ACH-000118,Pancreas,matrix_intact,-1.1127926945899582
ARID1A_damaging_to_ATR,Avana,ACH-000120,Peripheral Nervous System,matrix_intact,-0.9923259665163696
ARID1A_damaging_to_ATR,Avana,ACH-000123,Ovary/Fallopian Tube,matrix_intact,-0.6592848250147485
ARID1A_damaging_to_ATR,Avana,ACH-000127,Bladder/Urinary Tract,matrix_intact,-1.9210111816545101
ARID1A_damaging_to_ATR,Avana,ACH-000128,CNS/Brain,matrix_intact,-1.0605894952873096
ARID1A_damaging_to_ATR,Avana,ACH-000132,Ovary/Fallopian Tube,matrix_intact,-3.2976772894823276
ARID1A_damaging_to_ATR,Avana,ACH-000133,Soft Tissue,matrix_intact,-1.0909788812874002
ARID1A_damaging_to_ATR,Avana,ACH-000137,CNS/Brain,matrix_intact,-0.49599315771921715
ARID1A_damaging_to_ATR,Avana,ACH-000138,Pancreas,matrix_intact,-1.2255375452687076
ARID1A_damaging_to_ATR,Avana,ACH-000141,Biliary Tract,matrix_intact,-0.7072827793685726
ARID1A_damaging_to_ATR,Avana,ACH-000142,Bladder/Urinary Tract,matrix_intact,-0.9718046307364557
ARID1A_damaging_to_ATR,Avana,ACH-000143,Lung,matrix_intact,-0.7277177492174044
ARID1A_damaging_to_ATR,Avana,ACH-000145,Soft Tissue,matrix_intact,-0.6365815466285412
ARID1A_damaging_to_ATR,Avana,ACH-000146,Myeloid,matrix_intact,-0.7471640546906013
ARID1A_damaging_to_ATR,Avana,ACH-000147,Breast,damaging,-0.409196277237835
ARID1A_damaging_to_ATR,Avana,ACH-000148,Breast,matrix_intact,-0.6610359546107099
ARID1A_damaging_to_ATR,Avana,ACH-000151,Lymphoid,matrix_intact,-0.4435145803613699
ARID1A_damaging_to_ATR,Avana,ACH-000152,CNS/Brain,matrix_intact,-1.023309934754217
ARID1A_damaging_to_ATR,Avana,ACH-000153,Pleura,matrix_intact,-0.45626472239626625
ARID1A_damaging_to_ATR,Avana,ACH-000159,Kidney,matrix_intact,-1.3337309941463977
