pair_id,source,model_id,lineage,status,target_score
TP53_matrix_intact_to_MDM2,Avana,ACH-000004,Myeloid,damaging,-0.04170486807311323
TP53_matrix_intact_to_MDM2,Avana,ACH-000005,Myeloid,damaging,0.000249468567424551
TP53_matrix_intact_to_MDM2,Avana,ACH-000007,Bowel,matrix_intact,-1.2559354499359967
TP53_matrix_intact_to_MDM2,Avana,ACH-000009,Bowel,damaging,0.02491614213162144
TP53_matrix_intact_to_MDM2,Avana,ACH-000011,Bladder/Urinary Tract,matrix_intact,-3.160898353536959
TP53_matrix_intact_to_MDM2,Avana,ACH-000012,Lung,matrix_intact,0.10404948170165398
TP53_matrix_intact_to_MDM2,Avana,ACH-000013,Ovary/Fallopian Tube,damaging,0.08009028173343237
TP53_matrix_intact_to_MDM2,Avana,ACH-000015,Lung,damaging,-0.01980818079179464
TP53_matrix_intact_to_MDM2,Avana,ACH-000017,Breast,damaging,-0.1549900111995543
TP53_matrix_intact_to_MDM2,Avana,ACH-000018,Bladder/Urinary Tract,damaging,-0.03480402214812492
TP53_matrix_intact_to_MDM2,Avana,ACH-000019,Breast,matrix_intact,-0.8743141954904207
TP53_matrix_intact_to_MDM2,Avana,ACH-000021,Lung,damaging,-0.1525655847049811
TP53_matrix_intact_to_MDM2,Avana,ACH-000022,Pancreas,damaging,0.06730911386554657
TP53_matrix_intact_to_MDM2,Avana,ACH-000024,Lymphoid,damaging,-0.2668605402635155
TP53_matrix_intact_to_MDM2,Avana,ACH-000025,CNS/Brain,matrix_intact,-0.2221043535811388
TP53_matrix_intact_to_MDM2,Avana,ACH-000028,Breast,matrix_intact,-1.2433225388510025
TP53_matrix_intact_to_MDM2,Avana,ACH-000029,Lung,matrix_intact,0.06614070255249213
TP53_matrix_intact_to_MDM2,Avana,ACH-000030,Lung,damaging,0.07145985505122977
TP53_matrix_intact_to_MDM2,Avana,ACH-000035,Lung,damaging,-0.19205316853559917
TP53_matrix_intact_to_MDM2,Avana,ACH-000036,CNS/Brain,matrix_intact,-1.7645082941256103
TP53_matrix_intact_to_MDM2,Avana,ACH-000037,Soft Tissue,damaging,-0.028300348844037454
TP53_matrix_intact_to_MDM2,Avana,ACH-000039,Bone,matrix_intact,0.010587747714259608
TP53_matrix_intact_to_MDM2,Avana,ACH-000040,CNS/Brain,damaging,-0.13350352019467676
TP53_matrix_intact_to_MDM2,Avana,ACH-000041,Bone,damaging,-0.021290802465826694
TP53_matrix_intact_to_MDM2,Avana,ACH-000042,Pancreas,damaging,0.1189511710915558
TP53_matrix_intact_to_MDM2,Avana,ACH-000045,Myeloid,matrix_intact,-1.3996666095554993
TP53_matrix_intact_to_MDM2,Avana,ACH-000047,Esophagus/Stomach,damaging,0.15716177011865765
TP53_matrix_intact_to_MDM2,Avana,ACH-000048,Ovary/Fallopian Tube,damaging,0.039168234944441604
TP53_matrix_intact_to_MDM2,Avana,ACH-000052,Bone,damaging,-0.34433777495153084
TP53_matrix_intact_to_MDM2,Avana,ACH-000053,Lymphoid,damaging,-0.08091003684248696
TP53_matrix_intact_to_MDM2,Avana,ACH-000054,Soft Tissue,matrix_intact,-1.7510195617179147
TP53_matrix_intact_to_MDM2,Avana,ACH-000055,CNS/Brain,damaging,0.0232468284060241
TP53_matrix_intact_to_MDM2,Avana,ACH-000060,Pancreas,damaging,-0.043085171738487
TP53_matrix_intact_to_MDM2,Avana,ACH-000067,CNS/Brain,damaging,-0.3830712202358293
TP53_matrix_intact_to_MDM2,Avana,ACH-000070,Lymphoid,matrix_intact,-0.5779679043278226
TP53_matrix_intact_to_MDM2,Avana,ACH-000074,Myeloid,damaging,0.10645720656194119
TP53_matrix_intact_to_MDM2,Avana,ACH-000075,CNS/Brain,matrix_intact,-0.4613912988515674
TP53_matrix_intact_to_MDM2,Avana,ACH-000076,Myeloid,damaging,-0.5267963346806276
TP53_matrix_intact_to_MDM2,Avana,ACH-000077,Lymphoid,matrix_intact,-0.3772232560077655
TP53_matrix_intact_to_MDM2,Avana,ACH-000078,Peripheral Nervous System,matrix_intact,-0.7890099829622763
TP53_matrix_intact_to_MDM2,Avana,ACH-000082,Bone,matrix_intact,-0.23843116854730176
TP53_matrix_intact_to_MDM2,Avana,ACH-000085,Pancreas,damaging,0.002958477980849134
TP53_matrix_intact_to_MDM2,Avana,ACH-000086,Pleura,matrix_intact,-0.5886819512909447
TP53_matrix_intact_to_MDM2,Avana,ACH-000090,Prostate,damaging,-0.1822228835286172
TP53_matrix_intact_to_MDM2,Avana,ACH-000092,Pleura,matrix_intact,-0.12453395259459824
TP53_matrix_intact_to_MDM2,Avana,ACH-000093,Pancreas,matrix_intact,-1.191403935583259
TP53_matrix_intact_to_MDM2,Avana,ACH-000095,CNS/Brain,matrix_intact,-2.3270117505214314
TP53_matrix_intact_to_MDM2,Avana,ACH-000097,Breast,matrix_intact,-3.8637689958097026
TP53_matrix_intact_to_MDM2,Avana,ACH-000098,CNS/Brain,damaging,0.027073652269187315
TP53_matrix_intact_to_MDM2,Avana,ACH-000099,Peripheral Nervous System,matrix_intact,-1.8484060634582307
TP53_matrix_intact_to_MDM2,Avana,ACH-000101,Lymphoid,damaging,-0.07493270685446564
TP53_matrix_intact_to_MDM2,Avana,ACH-000108,Pancreas,damaging,0.06837490496260894
TP53_matrix_intact_to_MDM2,Avana,ACH-000111,Breast,matrix_intact,-0.05486399357951287
TP53_matrix_intact_to_MDM2,Avana,ACH-000113,Myeloid,matrix_intact,-1.2113800258330243
TP53_matrix_intact_to_MDM2,Avana,ACH-000114,Pancreas,damaging,-0.6028928107801688
TP53_matrix_intact_to_MDM2,Avana,ACH-000115,Prostate,damaging,-0.12931823209463825
TP53_matrix_intact_to_MDM2,Avana,ACH-000118,Pancreas,damaging,0.09482550666461817
TP53_matrix_intact_to_MDM2,Avana,ACH-000120,Peripheral Nervous System,matrix_intact,-1.5221198793432686
TP53_matrix_intact_to_MDM2,Avana,ACH-000123,Ovary/Fallopian Tube,matrix_intact,-1.0920572189407247
TP53_matrix_intact_to_MDM2,Avana,ACH-000127,Bladder/Urinary Tract,damaging,0.036649061531037794
TP53_matrix_intact_to_MDM2,Avana,ACH-000128,CNS/Brain,damaging,-0.15297754859322638
TP53_matrix_intact_to_MDM2,Avana,ACH-000132,Ovary/Fallopian Tube,damaging,0.07167182389947775
TP53_matrix_intact_to_MDM2,Avana,ACH-000133,Soft Tissue,damaging,-0.25167649643647744
TP53_matrix_intact_to_MDM2,Avana,ACH-000137,CNS/Brain,damaging,-0.27005821526656165
