pair_id,source,exposed_models,reference_models,contributing_lineages,expected_delta,normal_mean_shift,null_permutations,alternative_simulations,critical_delta,simulated_power,confirmatory_power_adequate
ARID1A_damaging_to_EZH2,Avana,101,874,19,-0.2,-0.358286909243,100000,10000,-0.1213903743315508,0.8621,True
ARID1A_damaging_to_EZH2,KY,43,272,11,-0.2,-0.358286909243,100000,10000,-0.18319719953325556,0.576,False
