pair_id,source,model_id,lineage,status,target_score
ARID1A_damaging_to_EZH2,Avana,ACH-000004,Myeloid,matrix_intact,-0.025637176606649423
ARID1A_damaging_to_EZH2,Avana,ACH-000005,Myeloid,matrix_intact,0.18481241439037882
ARID1A_damaging_to_EZH2,Avana,ACH-000007,Bowel,matrix_intact,-0.337612786286805
ARID1A_damaging_to_EZH2,Avana,ACH-000009,Bowel,matrix_intact,0.42542964215425805
ARID1A_damaging_to_EZH2,Avana,ACH-000011,Bladder/Urinary Tract,matrix_intact,0.1731097421256544
ARID1A_damaging_to_EZH2,Avana,ACH-000012,Lung,matrix_intact,0.29007383647642315
ARID1A_damaging_to_EZH2,Avana,ACH-000013,Ovary/Fallopian Tube,matrix_intact,-0.24595613441295988
ARID1A_damaging_to_EZH2,Avana,ACH-000015,Lung,matrix_intact,-0.08892607450028764
ARID1A_damaging_to_EZH2,Avana,ACH-000017,Breast,matrix_intact,-0.47182559539197777
ARID1A_damaging_to_EZH2,Avana,ACH-000018,Bladder/Urinary Tract,matrix_intact,0.02557864245507481
ARID1A_damaging_to_EZH2,Avana,ACH-000019,Breast,matrix_intact,0.194364811917274
ARID1A_damaging_to_EZH2,Avana,ACH-000021,Lung,matrix_intact,0.5736902030867761
ARID1A_damaging_to_EZH2,Avana,ACH-000022,Pancreas,matrix_intact,0.1416858306154643
ARID1A_damaging_to_EZH2,Avana,ACH-000024,Lymphoid,matrix_intact,-0.14511678642193362
ARID1A_damaging_to_EZH2,Avana,ACH-000025,CNS/Brain,matrix_intact,0.7786490167122544
ARID1A_damaging_to_EZH2,Avana,ACH-000028,Breast,matrix_intact,0.035638668133351134
ARID1A_damaging_to_EZH2,Avana,ACH-000029,Lung,matrix_intact,0.4273914383284591
ARID1A_damaging_to_EZH2,Avana,ACH-000030,Lung,matrix_intact,0.24478342762443392
ARID1A_damaging_to_EZH2,Avana,ACH-000035,Lung,matrix_intact,-0.2025951879781047
ARID1A_damaging_to_EZH2,Avana,ACH-000036,CNS/Brain,matrix_intact,0.22253801270520512
ARID1A_damaging_to_EZH2,Avana,ACH-000037,Soft Tissue,matrix_intact,0.12297796154272189
ARID1A_damaging_to_EZH2,Avana,ACH-000039,Bone,matrix_intact,0.09053239945937064
ARID1A_damaging_to_EZH2,Avana,ACH-000040,CNS/Brain,matrix_intact,0.29041242820131963
ARID1A_damaging_to_EZH2,Avana,ACH-000041,Bone,matrix_intact,0.3221343095178013
