model_id,source,tissue,raw_efficacy,raw_growth_rate,efficacy_percentile,growth_percentile
ACH-000007,Avana,Large Intestine,0.7315405482767068,0.9298124534112426,0.5833333333333334,0.5833333333333334
ACH-000009,Avana,Large Intestine,0.8380638801770854,0.8037992033989265,0.8333333333333334,0.20833333333333334
ACH-000252,Avana,Large Intestine,0.3790900372307069,0.8291546727687896,0.08333333333333333,0.25
ACH-000350,Avana,Large Intestine,0.8567126870325097,0.967124460566402,0.875,0.7083333333333334
ACH-000381,Avana,Large Intestine,0.8007606596879489,0.879914406544808,0.7083333333333334,0.375
ACH-000403,Avana,Large Intestine,0.8160393352003994,0.9017494645193588,0.7916666666666666,0.4583333333333333
ACH-000421,Avana,Large Intestine,0.7095016632755007,0.9618421378289712,0.5416666666666666,0.6666666666666666
ACH-000470,Avana,Large Intestine,0.9562545361007952,1.0557135373194977,0.9583333333333334,0.8333333333333334
ACH-000489,Avana,Large Intestine,0.9614809065082298,1.228054325777359,1.0,0.9583333333333334
ACH-000491,Avana,Large Intestine,0.7643415794351347,0.8866035833512526,0.625,0.4166666666666667
ACH-000532,Avana,Large Intestine,0.706999573074273,0.7948720337376532,0.5,0.16666666666666666
ACH-000552,Avana,Large Intestine,0.6417260848461837,0.902510056028913,0.375,0.5
ACH-000651,Avana,Large Intestine,0.903360523683684,1.1067832084014155,0.9166666666666666,0.9166666666666666
ACH-000680,Avana,Large Intestine,0.6228739215992029,1.313154457310628,0.2916666666666667,1.0
ACH-000820,Avana,Large Intestine,0.315351967709633,1.043508239744642,0.0,0.7916666666666666
ACH-000926,Avana,Large Intestine,0.7815744546773213,0.7454867504385781,0.6666666666666666,0.125
ACH-000935,Avana,Large Intestine,0.6278591371149118,0.93292142185709,0.3333333333333333,0.625
ACH-000943,Avana,Large Intestine,0.8053285620598688,0.8608090843004348,0.75,0.3333333333333333
ACH-000950,Avana,Large Intestine,0.4886057860802326,0.710270059489943,0.16666666666666666,0.08333333333333333
ACH-000957,Avana,Large Intestine,0.674334529209649,1.0941417469296055,0.4583333333333333,0.875
ACH-000958,Avana,Large Intestine,0.6468924329773671,0.8531302873141444,0.4166666666666667,0.2916666666666667
ACH-000963,Avana,Large Intestine,0.437173134118109,0.5714805910283088,0.125,0.041666666666666664
ACH-000969,Avana,Large Intestine,0.609610858651755,0.9229365210774833,0.25,0.5416666666666666
ACH-000986,Avana,Large Intestine,0.4923821259582784,0.9729836653048538,0.20833333333333334,0.75
ACH-001345,Avana,Large Intestine,0.364393432050331,0.4900363720906617,0.041666666666666664,0.0
ACH-000048,Avana,Ovary,0.5541401926469738,1.0053604994066594,0.09523809523809523,0.38095238095238093
