pair_id,source,model_id,lineage,status,target_score
ARID1A_to_KEAP1,Avana,ACH-000004,Myeloid,intact,-0.2716374524142448
ARID1A_to_KEAP1,Avana,ACH-000005,Myeloid,intact,-0.29525481800462927
ARID1A_to_KEAP1,Avana,ACH-000007,Bowel,intact,-0.869492870683295
ARID1A_to_KEAP1,Avana,ACH-000009,Bowel,intact,-0.7588888841226604
ARID1A_to_KEAP1,Avana,ACH-000011,Bladder/Urinary Tract,intact,0.7134569539482642
ARID1A_to_KEAP1,Avana,ACH-000012,Lung,intact,-1.1908818023035406
ARID1A_to_KEAP1,Avana,ACH-000013,Ovary/Fallopian Tube,intact,0.1826915285496589
ARID1A_to_KEAP1,Avana,ACH-000015,Lung,intact,-0.20150423544797078
ARID1A_to_KEAP1,Avana,ACH-000017,Breast,intact,0.12005679402619193
ARID1A_to_KEAP1,Avana,ACH-000018,Bladder/Urinary Tract,intact,0.28032013207625534
ARID1A_to_KEAP1,Avana,ACH-000019,Breast,intact,-0.04383901098255189
ARID1A_to_KEAP1,Avana,ACH-000021,Lung,intact,-0.04222413450197668
ARID1A_to_KEAP1,Avana,ACH-000022,Pancreas,intact,-0.6274603159526562
ARID1A_to_KEAP1,Avana,ACH-000024,Lymphoid,intact,0.4919337593839619
ARID1A_to_KEAP1,Avana,ACH-000025,CNS/Brain,intact,-0.15540123098252132
ARID1A_to_KEAP1,Avana,ACH-000028,Breast,intact,-0.8621323733018722
ARID1A_to_KEAP1,Avana,ACH-000029,Lung,intact,-0.615461816511556
ARID1A_to_KEAP1,Avana,ACH-000030,Lung,intact,-1.0355682198482032
ARID1A_to_KEAP1,Avana,ACH-000035,Lung,intact,0.579063713711136
ARID1A_to_KEAP1,Avana,ACH-000036,CNS/Brain,intact,2.4052854515486373
ARID1A_to_KEAP1,Avana,ACH-000037,Soft Tissue,intact,-0.13798603674628435
ARID1A_to_KEAP1,Avana,ACH-000039,Bone,intact,-0.3456320906707247
ARID1A_to_KEAP1,Avana,ACH-000040,CNS/Brain,intact,-0.0001254834789565229
ARID1A_to_KEAP1,Avana,ACH-000041,Bone,intact,-0.26867513229589146
ARID1A_to_KEAP1,Avana,ACH-000042,Pancreas,intact,-0.11497763099396699
ARID1A_to_KEAP1,Avana,ACH-000045,Myeloid,intact,-0.9329991861515734
ARID1A_to_KEAP1,Avana,ACH-000047,Esophagus/Stomach,intact,-0.5522689490126685
ARID1A_to_KEAP1,Avana,ACH-000048,Ovary/Fallopian Tube,intact,-0.2840348262296466
ARID1A_to_KEAP1,Avana,ACH-000052,Bone,intact,-0.273820880312805
ARID1A_to_KEAP1,Avana,ACH-000053,Lymphoid,intact,-0.6927494560204552
ARID1A_to_KEAP1,Avana,ACH-000054,Soft Tissue,intact,-0.9848607255956905
ARID1A_to_KEAP1,Avana,ACH-000055,CNS/Brain,intact,-2.7835710640049145
ARID1A_to_KEAP1,Avana,ACH-000060,Pancreas,intact,0.7313776060064248
ARID1A_to_KEAP1,Avana,ACH-000067,CNS/Brain,intact,1.6093866250237427
ARID1A_to_KEAP1,Avana,ACH-000070,Lymphoid,intact,-0.16997589086004566
ARID1A_to_KEAP1,Avana,ACH-000074,Myeloid,intact,0.5792565372892104
ARID1A_to_KEAP1,Avana,ACH-000075,CNS/Brain,intact,-0.1173417629012321
ARID1A_to_KEAP1,Avana,ACH-000076,Myeloid,intact,-1.8200235570675123
ARID1A_to_KEAP1,Avana,ACH-000077,Lymphoid,intact,-0.6412361441720749
ARID1A_to_KEAP1,Avana,ACH-000078,Peripheral Nervous System,intact,-0.3955393220219747
ARID1A_to_KEAP1,Avana,ACH-000082,Bone,intact,-0.038579369386407214
ARID1A_to_KEAP1,Avana,ACH-000085,Pancreas,intact,-0.5872283992177588
ARID1A_to_KEAP1,Avana,ACH-000086,Pleura,intact,0.44969672775258834
ARID1A_to_KEAP1,Avana,ACH-000090,Prostate,intact,-0.2112310581813749
ARID1A_to_KEAP1,Avana,ACH-000092,Pleura,intact,0.8872725917143276
ARID1A_to_KEAP1,Avana,ACH-000093,Pancreas,intact,0.6727513617431087
ARID1A_to_KEAP1,Avana,ACH-000095,CNS/Brain,intact,-1.0990423590374616
ARID1A_to_KEAP1,Avana,ACH-000097,Breast,intact,-0.9319136992234034
ARID1A_to_KEAP1,Avana,ACH-000098,CNS/Brain,intact,3.0740484765831417
ARID1A_to_KEAP1,Avana,ACH-000099,Peripheral Nervous System,intact,-1.080440886777936
ARID1A_to_KEAP1,Avana,ACH-000101,Lymphoid,intact,0.27771359163329423
ARID1A_to_KEAP1,Avana,ACH-000108,Pancreas,damaging,-0.4910474037808005
ARID1A_to_KEAP1,Avana,ACH-000111,Breast,intact,-0.3465674506658404
ARID1A_to_KEAP1,Avana,ACH-000113,Myeloid,intact,-0.8280136547470724
ARID1A_to_KEAP1,Avana,ACH-000114,Pancreas,intact,-0.49313708437904047
ARID1A_to_KEAP1,Avana,ACH-000115,Prostate,intact,0.06638758041949142
ARID1A_to_KEAP1,Avana,ACH-000118,Pancreas,intact,-0.5606086102523649
ARID1A_to_KEAP1,Avana,ACH-000120,Peripheral Nervous System,intact,-0.7069944847033168
ARID1A_to_KEAP1,Avana,ACH-000123,Ovary/Fallopian Tube,intact,-0.5672542155911744
ARID1A_to_KEAP1,Avana,ACH-000127,Bladder/Urinary Tract,intact,-0.9394797853920568
ARID1A_to_KEAP1,Avana,ACH-000128,CNS/Brain,intact,-0.21454598072433745
ARID1A_to_KEAP1,Avana,ACH-000132,Ovary/Fallopian Tube,intact,-0.0878593878344257
ARID1A_to_KEAP1,Avana,ACH-000133,Soft Tissue,intact,0.11797831304789208
ARID1A_to_KEAP1,Avana,ACH-000137,CNS/Brain,intact,0.2615577707969533
ARID1A_to_KEAP1,Avana,ACH-000138,Pancreas,intact,0.09596642155742698
ARID1A_to_KEAP1,Avana,ACH-000141,Biliary Tract,intact,0.10742862528085992
ARID1A_to_KEAP1,Avana,ACH-000142,Bladder/Urinary Tract,intact,0.6855421482066903
ARID1A_to_KEAP1,Avana,ACH-000143,Lung,intact,-0.8448226342199718
ARID1A_to_KEAP1,Avana,ACH-000145,Soft Tissue,intact,-1.0294259263129413
ARID1A_to_KEAP1,Avana,ACH-000146,Myeloid,intact,0.07354076631849407
ARID1A_to_KEAP1,Avana,ACH-000147,Breast,damaging,-0.18834674271742205
ARID1A_to_KEAP1,Avana,ACH-000148,Breast,intact,0.6257856844588419
ARID1A_to_KEAP1,Avana,ACH-000151,Lymphoid,intact,-0.10152999243934106
ARID1A_to_KEAP1,Avana,ACH-000152,CNS/Brain,intact,0.4472546102307992
ARID1A_to_KEAP1,Avana,ACH-000153,Pleura,intact,-0.2040113033377943
ARID1A_to_KEAP1,Avana,ACH-000159,Kidney,intact,-0.03469313065021624
ARID1A_to_KEAP1,Avana,ACH-000160,CNS/Brain,intact,0.12373175050109794
ARID1A_to_KEAP1,Avana,ACH-000161,Lung,intact,-0.5231928182443681
ARID1A_to_KEAP1,Avana,ACH-000163,Head and Neck,intact,-0.054810537123663516
ARID1A_to_KEAP1,Avana,ACH-000164,Pancreas,intact,-1.491555050614351
ARID1A_to_KEAP1,Avana,ACH-000168,Myeloid,intact,-0.020625614610164444
ARID1A_to_KEAP1,Avana,ACH-000169,Soft Tissue,intact,-0.24039958724103136
ARID1A_to_KEAP1,Avana,ACH-000174,Thyroid,intact,1.58291970964709
ARID1A_to_KEAP1,Avana,ACH-000178,Pancreas,damaging,-0.8630544316876297
ARID1A_to_KEAP1,Avana,ACH-000182,Ampulla of Vater,intact,-0.9122310819841024
ARID1A_to_KEAP1,Avana,ACH-000183,Lymphoid,intact,-0.26583821347300557
ARID1A_to_KEAP1,Avana,ACH-000187,Lung,intact,-0.2243774000818463
ARID1A_to_KEAP1,Avana,ACH-000188,Head and Neck,intact,-1.842462977198302
ARID1A_to_KEAP1,Avana,ACH-000189,Kidney,intact,-0.18389939698827545
ARID1A_to_KEAP1,Avana,ACH-000190,Myeloid,intact,-0.4561633725685952
ARID1A_to_KEAP1,Avana,ACH-000191,Thyroid,intact,0.7572341482730822
ARID1A_to_KEAP1,Avana,ACH-000195,Myeloid,intact,-0.3370062375162708
ARID1A_to_KEAP1,Avana,ACH-000198,Myeloid,intact,-3.056526964607011
ARID1A_to_KEAP1,Avana,ACH-000200,CNS/Brain,intact,0.05667846208388157
ARID1A_to_KEAP1,Avana,ACH-000202,Bowel,intact,0.06044314498242215
ARID1A_to_KEAP1,Avana,ACH-000204,Lymphoid,intact,-0.3932069194394958
ARID1A_to_KEAP1,Avana,ACH-000206,Lymphoid,intact,-0.7327019773540807
ARID1A_to_KEAP1,Avana,ACH-000207,Head and Neck,intact,0.46537451168868543
ARID1A_to_KEAP1,Avana,ACH-000209,Biliary Tract,intact,-0.1834982403024181
ARID1A_to_KEAP1,Avana,ACH-000211,CNS/Brain,intact,-1.1845837151281304
ARID1A_to_KEAP1,Avana,ACH-000212,Breast,intact,-0.5347796398142627
ARID1A_to_KEAP1,Avana,ACH-000215,CNS/Brain,intact,0.20755678120866972
ARID1A_to_KEAP1,Avana,ACH-000216,Esophagus/Stomach,intact,-0.47854702283656625
ARID1A_to_KEAP1,Avana,ACH-000217,Liver,intact,-0.018329642891576778
ARID1A_to_KEAP1,Avana,ACH-000219,Skin,intact,-0.45931118716895747
ARID1A_to_KEAP1,Avana,ACH-000221,Liver,intact,-0.6782007568423416
ARID1A_to_KEAP1,Avana,ACH-000222,Pancreas,intact,0.1317558832183463
ARID1A_to_KEAP1,Avana,ACH-000223,Breast,intact,-0.4186699545334681
ARID1A_to_KEAP1,Avana,ACH-000226,Lymphoid,intact,-1.5446312424857147
ARID1A_to_KEAP1,Avana,ACH-000227,Peripheral Nervous System,intact,-0.12657359038030552
ARID1A_to_KEAP1,Avana,ACH-000228,Head and Neck,intact,-0.2903903656445252
ARID1A_to_KEAP1,Avana,ACH-000231,CNS/Brain,intact,0.3141973455333523
ARID1A_to_KEAP1,Avana,ACH-000232,CNS/Brain,intact,1.1140574407432875
ARID1A_to_KEAP1,Avana,ACH-000233,Lymphoid,intact,-0.28076235318805587
ARID1A_to_KEAP1,Avana,ACH-000234,Kidney,intact,-0.08777282128920921
ARID1A_to_KEAP1,Avana,ACH-000235,Pancreas,intact,0.12317458863293566
ARID1A_to_KEAP1,Avana,ACH-000237,Ovary/Fallopian Tube,intact,-0.29224710003042365
ARID1A_to_KEAP1,Avana,ACH-000238,Head and Neck,intact,-0.20199700573285806
ARID1A_to_KEAP1,Avana,ACH-000243,Pancreas,intact,-0.33423907777295064
ARID1A_to_KEAP1,Avana,ACH-000244,CNS/Brain,intact,0.8233720261434638
ARID1A_to_KEAP1,Avana,ACH-000246,Kidney,intact,1.7903867745679158
ARID1A_to_KEAP1,Avana,ACH-000247,Esophagus/Stomach,damaging,-0.015429114711961359
ARID1A_to_KEAP1,Avana,ACH-000248,Breast,intact,-0.18648431761580242
ARID1A_to_KEAP1,Avana,ACH-000250,Kidney,intact,-1.2736099037078068
ARID1A_to_KEAP1,Avana,ACH-000251,Lung,intact,-0.16337982641861587
ARID1A_to_KEAP1,Avana,ACH-000252,Bowel,intact,0.045463999294142854
ARID1A_to_KEAP1,Avana,ACH-000253,Bowel,intact,0.3018703556221518
ARID1A_to_KEAP1,Avana,ACH-000255,Esophagus/Stomach,intact,0.6632991217898816
ARID1A_to_KEAP1,Avana,ACH-000256,Ovary/Fallopian Tube,intact,-0.8659645132174387
ARID1A_to_KEAP1,Avana,ACH-000257,Lung,intact,-0.4567913787613475
ARID1A_to_KEAP1,Avana,ACH-000258,Breast,intact,-1.1672707735700794
ARID1A_to_KEAP1,Avana,ACH-000259,Peripheral Nervous System,intact,-0.19094198001959953
ARID1A_to_KEAP1,Avana,ACH-000260,Peripheral Nervous System,intact,-0.6441747960640531
ARID1A_to_KEAP1,Avana,ACH-000261,Lung,intact,-0.8924795831186798
ARID1A_to_KEAP1,Avana,ACH-000262,Kidney,intact,0.1012444366057129
ARID1A_to_KEAP1,Avana,ACH-000263,Myeloid,intact,0.027667371931579865
ARID1A_to_KEAP1,Avana,ACH-000264,Lung,intact,-5.308687167503345
ARID1A_to_KEAP1,Avana,ACH-000265,Pancreas,intact,-0.1549266095829826
ARID1A_to_KEAP1,Avana,ACH-000266,Pancreas,intact,0.2857930081177922
ARID1A_to_KEAP1,Avana,ACH-000272,Kidney,intact,0.004274676680454073
ARID1A_to_KEAP1,Avana,ACH-000273,CNS/Brain,intact,1.0744216191092213
ARID1A_to_KEAP1,Avana,ACH-000274,Skin,intact,0.9917355849706544
ARID1A_to_KEAP1,Avana,ACH-000276,Breast,intact,-0.5587065128101275
ARID1A_to_KEAP1,Avana,ACH-000277,Breast,intact,-0.060044374486825106
ARID1A_to_KEAP1,Avana,ACH-000278,Ovary/Fallopian Tube,intact,0.1205724712273556
ARID1A_to_KEAP1,Avana,ACH-000279,Bone,intact,0.22968858460776304
ARID1A_to_KEAP1,Avana,ACH-000280,Ovary/Fallopian Tube,intact,0.7992676911489736
ARID1A_to_KEAP1,Avana,ACH-000281,Pancreas,intact,0.5367070491244276
ARID1A_to_KEAP1,Avana,ACH-000286,Bowel,intact,0.02458480154466522
ARID1A_to_KEAP1,Avana,ACH-000288,Breast,intact,1.5215294181107386
ARID1A_to_KEAP1,Avana,ACH-000290,Lung,intact,-0.7652411592036343
ARID1A_to_KEAP1,Avana,ACH-000291,Ovary/Fallopian Tube,intact,-1.5739308412713027
ARID1A_to_KEAP1,Avana,ACH-000292,Lung,intact,-0.3438114933728563
