pair_id,source,loss_models,intact_models,contributing_lineages,expected_delta,normal_mean_shift,null_permutations,alternative_simulations,null_lower_05_critical_delta,simulated_power_for_permutation_gate,confirmatory_power_adequate
ARID1A_to_KEAP1,Avana,101,874,19,-0.2,-0.358286909243,100000,10000,-0.1213903743315508,0.8652,True
ARID1A_to_KEAP1,KY,43,272,11,-0.2,-0.358286909243,100000,10000,-0.1808634772462077,0.5875,False
